,company,industry,sum,std
732,Relativity,Legal,125.0,
733,Remesh,Support,38.0,
734,Remote,HR,496.0,
735,RenoRun,Construction,326.0,0.0
736,Rent the Runway,Retail,526.0,
737,Repertoire Immune Medicines,Healthcare,257.0,
738,Replicated,Infrastructure,85.0,
739,ResearchGate,Other,87.0,
740,Rev.com,Data,30.0,
741,Revelate,Data,26.0,
742,Reynen Court,Legal,23.0,
743,Rhino,Real Estate,133.0,
744,Ribbon,Real Estate,810.0,0.0
745,RingCentral,Other,44.0,
746,RingCentral,Support,44.0,
747,Ritual,Food,134.0,
748,Rivian,Transportation,10700.0,
749,Ro,Healthcare,1000.0,
750,Robinhood,Finance,11200.0,0.0
751,Roku,Media,208.0,
752,Roofstock,Real Estate,365.0,
753,Root Insurance,Finance,1054.0,0.0
754,Route,Retail,481.0,
755,Rows,Other,25.0,
756,Ruangguru,Education,205.0,
757,Rubicon Technologies,Other,382.0,
758,Rubius,Healthcare,890.0,0.0
759,Rupeek,Finance,344.0,0.0
760,SADA,Other,0.0,
761,SEND,Food,3.0,
762,SIRCLO,Retail,92.0,
763,SQZ Biotech,Healthcare,229.0,
764,SQream,Data,77.0,
765,SWVL,Transportation,396.0,93.33809511662427
766,SafeGraph,Data,61.0,
767,Sales Boomerang,Sales,5.0,
768,Salesforce,Sales,130.0,0.0
769,Salsify,Retail,452.0,
770,Sama,Data,84.0,
771,Sami,Healthcare,36.0,
772,Sana,Healthcare,700.0,
773,Sanar,Healthcare,11.0,
774,Sayurbox,Food,139.0,
775,Science 37 ,Healthcare,347.0,
776,Sea,Consumer,8600.0,
777,Sea,Retail,8600.0,
778,Seagate,Hardware,0.0,
779,Secfi,Finance,7.0,
780,Section4,Education,37.0,
781,Seegrid,Logistics,107.0,
782,SellerX,Retail,766.0,
783,Sema4,Healthcare,1582.0,0.0
784,SendCloud,Logistics,200.0,
785,Sendle,Logistics,69.0,
786,Sendoso,Marketing,152.0,
787,Sendy,Logistics,52.0,0.0
788,Sezzle,Finance,301.0,
789,Share Now,Transportation,0.0,
790,ShareChat,Consumer,1700.0,
791,Shef,Food,28.0,
792,Shelf Engine,Food,58.0,
793,Sherpa,Travel,11.0,
794,Shift,Transportation,504.0,
795,ShipBob,Logistics,330.0,
